#icu_stays: 10208
record num, #records, ratio
201, 6, 0.0006
202, 10, 0.0010
203, 6, 0.0006
204, 11, 0.0011
205, 9, 0.0009
206, 14, 0.0014
207, 11, 0.0011
208, 12, 0.0012
209, 8, 0.0008
210, 13, 0.0013
211, 14, 0.0014
212, 10, 0.0010
213, 12, 0.0012
214, 13, 0.0013
215, 8, 0.0008
216, 10, 0.0010
217, 10, 0.0010
218, 6, 0.0006
219, 13, 0.0013
220, 12, 0.0012
221, 15, 0.0015
222, 12, 0.0012
223, 5, 0.0005
224, 17, 0.0017
225, 11, 0.0011
226, 9, 0.0009
227, 13, 0.0013
228, 9, 0.0009
229, 9, 0.0009
230, 9, 0.0009
231, 13, 0.0013
232, 9, 0.0009
233, 8, 0.0008
234, 5, 0.0005
235, 8, 0.0008
236, 10, 0.0010
237, 8, 0.0008
238, 15, 0.0015
239, 9, 0.0009
240, 10, 0.0010
241, 9, 0.0009
242, 7, 0.0007
243, 7, 0.0007
244, 8, 0.0008
245, 13, 0.0013
246, 13, 0.0013
247, 5, 0.0005
248, 5, 0.0005
249, 7, 0.0007
250, 8, 0.0008
251, 9, 0.0009
252, 8, 0.0008
253, 3, 0.0003
254, 13, 0.0013
255, 7, 0.0007
256, 13, 0.0013
257, 10, 0.0010
258, 8, 0.0008
259, 6, 0.0006
260, 7, 0.0007
261, 7, 0.0007
262, 8, 0.0008
263, 12, 0.0012
264, 6, 0.0006
265, 9, 0.0009
266, 9, 0.0009
267, 10, 0.0010
268, 6, 0.0006
269, 9, 0.0009
270, 12, 0.0012
271, 3, 0.0003
272, 9, 0.0009
273, 10, 0.0010
274, 5, 0.0005
275, 4, 0.0004
276, 11, 0.0011
277, 6, 0.0006
278, 6, 0.0006
279, 5, 0.0005
280, 6, 0.0006
281, 5, 0.0005
282, 7, 0.0007
283, 5, 0.0005
284, 6, 0.0006
285, 8, 0.0008
286, 7, 0.0007
287, 8, 0.0008
288, 7, 0.0007
289, 7, 0.0007
290, 1, 0.0001
291, 6, 0.0006
292, 9, 0.0009
293, 6, 0.0006
294, 7, 0.0007
295, 13, 0.0013
296, 12, 0.0012
297, 9, 0.0009
298, 6, 0.0006
299, 10, 0.0010
300, 11, 0.0011
301, 8, 0.0008
302, 6, 0.0006
303, 8, 0.0008
304, 8, 0.0008
305, 5, 0.0005
306, 13, 0.0013
307, 3, 0.0003
308, 1, 0.0001
309, 4, 0.0004
310, 6, 0.0006
311, 4, 0.0004
312, 5, 0.0005
313, 6, 0.0006
314, 11, 0.0011
315, 8, 0.0008
316, 3, 0.0003
317, 8, 0.0008
318, 8, 0.0008
319, 6, 0.0006
320, 5, 0.0005
321, 12, 0.0012
322, 7, 0.0007
323, 2, 0.0002
324, 6, 0.0006
325, 6, 0.0006
326, 2, 0.0002
327, 4, 0.0004
328, 3, 0.0003
329, 9, 0.0009
330, 2, 0.0002
331, 6, 0.0006
332, 5, 0.0005
333, 6, 0.0006
334, 8, 0.0008
335, 5, 0.0005
336, 5, 0.0005
337, 6, 0.0006
338, 1, 0.0001
339, 5, 0.0005
340, 4, 0.0004
341, 7, 0.0007
342, 2, 0.0002
343, 8, 0.0008
344, 7, 0.0007
345, 7, 0.0007
346, 2, 0.0002
347, 3, 0.0003
348, 6, 0.0006
349, 5, 0.0005
350, 5, 0.0005
351, 3, 0.0003
352, 6, 0.0006
353, 7, 0.0007
354, 2, 0.0002
355, 1, 0.0001
356, 5, 0.0005
357, 3, 0.0003
358, 5, 0.0005
359, 4, 0.0004
360, 4, 0.0004
361, 4, 0.0004
362, 6, 0.0006
363, 4, 0.0004
364, 6, 0.0006
365, 8, 0.0008
366, 6, 0.0006
367, 2, 0.0002
368, 8, 0.0008
369, 2, 0.0002
370, 6, 0.0006
371, 2, 0.0002
372, 5, 0.0005
373, 9, 0.0009
374, 5, 0.0005
375, 1, 0.0001
376, 6, 0.0006
377, 1, 0.0001
378, 4, 0.0004
379, 5, 0.0005
380, 4, 0.0004
381, 3, 0.0003
382, 4, 0.0004
383, 7, 0.0007
384, 3, 0.0003
385, 7, 0.0007
386, 2, 0.0002
387, 5, 0.0005
388, 7, 0.0007
389, 4, 0.0004
390, 2, 0.0002
391, 3, 0.0003
392, 2, 0.0002
393, 4, 0.0004
394, 5, 0.0005
395, 4, 0.0004
396, 8, 0.0008
397, 6, 0.0006
398, 3, 0.0003
399, 7, 0.0007
400, 4, 0.0004
401, 2, 0.0002
402, 1, 0.0001
403, 5, 0.0005
404, 7, 0.0007
405, 2, 0.0002
406, 2, 0.0002
407, 4, 0.0004
408, 1, 0.0001
409, 4, 0.0004
410, 3, 0.0003
411, 2, 0.0002
412, 4, 0.0004
413, 5, 0.0005
414, 4, 0.0004
415, 6, 0.0006
416, 3, 0.0003
417, 4, 0.0004
418, 3, 0.0003
419, 3, 0.0003
420, 1, 0.0001
421, 3, 0.0003
422, 2, 0.0002
423, 2, 0.0002
425, 4, 0.0004
426, 2, 0.0002
427, 3, 0.0003
428, 4, 0.0004
429, 3, 0.0003
430, 5, 0.0005
431, 3, 0.0003
432, 2, 0.0002
433, 4, 0.0004
435, 2, 0.0002
436, 4, 0.0004
437, 4, 0.0004
438, 3, 0.0003
439, 3, 0.0003
440, 2, 0.0002
441, 4, 0.0004
442, 2, 0.0002
444, 1, 0.0001
445, 1, 0.0001
446, 7, 0.0007
447, 5, 0.0005
448, 4, 0.0004
449, 6, 0.0006
450, 2, 0.0002
451, 2, 0.0002
452, 6, 0.0006
453, 7, 0.0007
454, 1, 0.0001
455, 4, 0.0004
456, 4, 0.0004
457, 4, 0.0004
459, 2, 0.0002
460, 3, 0.0003
461, 1, 0.0001
462, 2, 0.0002
463, 2, 0.0002
464, 2, 0.0002
465, 3, 0.0003
466, 4, 0.0004
467, 2, 0.0002
468, 4, 0.0004
470, 3, 0.0003
471, 2, 0.0002
472, 4, 0.0004
473, 1, 0.0001
474, 3, 0.0003
475, 4, 0.0004
476, 2, 0.0002
477, 2, 0.0002
479, 1, 0.0001
480, 2, 0.0002
482, 4, 0.0004
483, 4, 0.0004
484, 2, 0.0002
485, 2, 0.0002
486, 3, 0.0003
487, 1, 0.0001
489, 3, 0.0003
490, 1, 0.0001
491, 2, 0.0002
492, 3, 0.0003
493, 2, 0.0002
494, 1, 0.0001
495, 1, 0.0001
496, 1, 0.0001
497, 2, 0.0002
498, 2, 0.0002
499, 2, 0.0002
500, 4, 0.0004
502, 2, 0.0002
503, 4, 0.0004
505, 1, 0.0001
506, 1, 0.0001
507, 1, 0.0001
508, 2, 0.0002
509, 1, 0.0001
510, 3, 0.0003
511, 2, 0.0002
513, 3, 0.0003
514, 4, 0.0004
515, 4, 0.0004
516, 2, 0.0002
517, 1, 0.0001
518, 3, 0.0003
521, 1, 0.0001
522, 2, 0.0002
524, 1, 0.0001
525, 1, 0.0001
527, 1, 0.0001
528, 1, 0.0001
531, 2, 0.0002
532, 3, 0.0003
533, 1, 0.0001
534, 2, 0.0002
536, 1, 0.0001
537, 1, 0.0001
538, 3, 0.0003
539, 1, 0.0001
540, 2, 0.0002
541, 3, 0.0003
542, 2, 0.0002
543, 1, 0.0001
544, 2, 0.0002
545, 3, 0.0003
546, 3, 0.0003
547, 1, 0.0001
548, 1, 0.0001
549, 2, 0.0002
550, 4, 0.0004
551, 5, 0.0005
552, 2, 0.0002
554, 4, 0.0004
557, 2, 0.0002
558, 1, 0.0001
560, 2, 0.0002
561, 2, 0.0002
563, 1, 0.0001
565, 3, 0.0003
566, 2, 0.0002
567, 1, 0.0001
568, 1, 0.0001
569, 1, 0.0001
570, 4, 0.0004
571, 5, 0.0005
574, 5, 0.0005
575, 1, 0.0001
576, 2, 0.0002
577, 2, 0.0002
578, 1, 0.0001
580, 2, 0.0002
581, 1, 0.0001
582, 2, 0.0002
583, 1, 0.0001
584, 3, 0.0003
586, 2, 0.0002
587, 2, 0.0002
588, 2, 0.0002
589, 2, 0.0002
590, 1, 0.0001
591, 1, 0.0001
592, 2, 0.0002
593, 3, 0.0003
594, 2, 0.0002
595, 3, 0.0003
596, 2, 0.0002
597, 3, 0.0003
598, 1, 0.0001
599, 2, 0.0002
600, 2, 0.0002
601, 3, 0.0003
602, 1, 0.0001
603, 2, 0.0002
604, 1, 0.0001
605, 4, 0.0004
606, 2, 0.0002
607, 2, 0.0002
610, 3, 0.0003
613, 1, 0.0001
614, 1, 0.0001
615, 1, 0.0001
617, 1, 0.0001
618, 3, 0.0003
619, 1, 0.0001
621, 2, 0.0002
623, 1, 0.0001
624, 1, 0.0001
626, 2, 0.0002
627, 1, 0.0001
628, 2, 0.0002
629, 2, 0.0002
631, 1, 0.0001
632, 2, 0.0002
633, 2, 0.0002
634, 4, 0.0004
635, 4, 0.0004
636, 2, 0.0002
637, 1, 0.0001
638, 2, 0.0002
639, 2, 0.0002
640, 1, 0.0001
641, 1, 0.0001
643, 2, 0.0002
644, 1, 0.0001
646, 2, 0.0002
647, 1, 0.0001
650, 1, 0.0001
651, 5, 0.0005
652, 2, 0.0002
655, 3, 0.0003
657, 1, 0.0001
658, 1, 0.0001
659, 2, 0.0002
660, 2, 0.0002
661, 1, 0.0001
662, 1, 0.0001
664, 2, 0.0002
665, 1, 0.0001
666, 3, 0.0003
668, 2, 0.0002
670, 2, 0.0002
671, 1, 0.0001
672, 3, 0.0003
674, 1, 0.0001
675, 1, 0.0001
676, 2, 0.0002
677, 1, 0.0001
678, 3, 0.0003
682, 2, 0.0002
684, 1, 0.0001
685, 1, 0.0001
686, 3, 0.0003
687, 1, 0.0001
688, 1, 0.0001
690, 3, 0.0003
691, 1, 0.0001
692, 1, 0.0001
696, 1, 0.0001
697, 1, 0.0001
698, 1, 0.0001
699, 1, 0.0001
701, 1, 0.0001
702, 1, 0.0001
706, 1, 0.0001
707, 1, 0.0001
710, 2, 0.0002
712, 1, 0.0001
713, 1, 0.0001
714, 1, 0.0001
715, 1, 0.0001
716, 2, 0.0002
717, 1, 0.0001
719, 1, 0.0001
720, 1, 0.0001
722, 2, 0.0002
725, 1, 0.0001
727, 1, 0.0001
730, 1, 0.0001
732, 1, 0.0001
733, 1, 0.0001
734, 1, 0.0001
736, 1, 0.0001
738, 1, 0.0001
739, 2, 0.0002
742, 2, 0.0002
746, 1, 0.0001
752, 1, 0.0001
753, 1, 0.0001
754, 1, 0.0001
755, 4, 0.0004
756, 2, 0.0002
759, 1, 0.0001
763, 1, 0.0001
766, 1, 0.0001
767, 1, 0.0001
770, 1, 0.0001
771, 1, 0.0001
773, 2, 0.0002
774, 1, 0.0001
776, 1, 0.0001
781, 1, 0.0001
783, 1, 0.0001
786, 1, 0.0001
788, 1, 0.0001
789, 1, 0.0001
792, 1, 0.0001
793, 1, 0.0001
796, 2, 0.0002
798, 1, 0.0001
800, 2, 0.0002
801, 1, 0.0001
802, 1, 0.0001
804, 2, 0.0002
813, 1, 0.0001
817, 1, 0.0001
820, 1, 0.0001
824, 1, 0.0001
828, 1, 0.0001
833, 1, 0.0001
842, 1, 0.0001
843, 2, 0.0002
844, 1, 0.0001
851, 1, 0.0001
854, 1, 0.0001
859, 1, 0.0001
860, 1, 0.0001
869, 1, 0.0001
880, 1, 0.0001
885, 1, 0.0001
891, 1, 0.0001
892, 1, 0.0001
921, 1, 0.0001
922, 1, 0.0001
937, 1, 0.0001
949, 1, 0.0001
951, 1, 0.0001
967, 1, 0.0001
974, 1, 0.0001
1009, 1, 0.0001
1013, 1, 0.0001
1021, 1, 0.0001
1170, 1, 0.0001
1225, 1, 0.0001
1254, 1, 0.0001
1694, 1, 0.0001
1820, 1, 0.0001
1882, 1, 0.0001
1902, 1, 0.0001
2234, 1, 0.0001
2549, 1, 0.0001
3679, 1, 0.0001
3823, 1, 0.0001
5657, 1, 0.0001
